รหัสเขต,รหัสโรงเรียน,ประเภท,รวม
2564-3,86010042,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010042,กศน.,0
2564-3,86010042,อื่น ๆ,0
2564-3,86010042,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010043,นักเรียนจบทั้งหมด,9
2564-3,86010043,โรงเรียนเดิม,8
2564-3,86010043,โรงเรียนอื่น สังกัด สพฐ.,1
2564-3,86010043,โรงเรียนสังกัดเอกชน,0
2564-3,86010043,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010043,กศน.,0
2564-3,86010043,อื่น ๆ,0
2564-3,86010043,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010044,นักเรียนจบทั้งหมด,51
2564-3,86010044,โรงเรียนเดิม,0
2564-3,86010044,โรงเรียนอื่น สังกัด สพฐ.,51
2564-3,86010044,โรงเรียนสังกัดเอกชน,0
2564-3,86010044,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010044,กศน.,0
2564-3,86010044,อื่น ๆ,0
2564-3,86010044,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010045,นักเรียนจบทั้งหมด,12
2564-3,86010045,โรงเรียนเดิม,10
2564-3,86010045,โรงเรียนอื่น สังกัด สพฐ.,2
2564-3,86010045,โรงเรียนสังกัดเอกชน,0
2564-3,86010045,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010045,กศน.,0
2564-3,86010045,อื่น ๆ,0
2564-3,86010045,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010046,นักเรียนจบทั้งหมด,8
2564-3,86010046,โรงเรียนเดิม,0
2564-3,86010046,โรงเรียนอื่น สังกัด สพฐ.,8
2564-3,86010046,โรงเรียนสังกัดเอกชน,0
2564-3,86010046,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010046,กศน.,0
2564-3,86010046,อื่น ๆ,0
2564-3,86010046,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010047,นักเรียนจบทั้งหมด,37
2564-3,86010047,โรงเรียนเดิม,33
2564-3,86010047,โรงเรียนอื่น สังกัด สพฐ.,4
2564-3,86010047,โรงเรียนสังกัดเอกชน,0
2564-3,86010047,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010047,กศน.,0
2564-3,86010047,อื่น ๆ,0
2564-3,86010047,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010048,นักเรียนจบทั้งหมด,26
2564-3,86010048,โรงเรียนเดิม,24
2564-3,86010048,โรงเรียนอื่น สังกัด สพฐ.,2
2564-3,86010048,โรงเรียนสังกัดเอกชน,0
2564-3,86010048,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010048,กศน.,0
2564-3,86010048,อื่น ๆ,0
2564-3,86010048,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010052,นักเรียนจบทั้งหมด,15
2564-3,86010052,โรงเรียนเดิม,15
2564-3,86010052,โรงเรียนอื่น สังกัด สพฐ.,0
2564-3,86010052,โรงเรียนสังกัดเอกชน,0
2564-3,86010052,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010052,กศน.,0
2564-3,86010052,อื่น ๆ,0
2564-3,86010052,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010053,นักเรียนจบทั้งหมด,32
2564-3,86010053,โรงเรียนเดิม,26
2564-3,86010053,โรงเรียนอื่น สังกัด สพฐ.,5
2564-3,86010053,โรงเรียนสังกัดเอกชน,1
2564-3,86010053,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010053,กศน.,0
2564-3,86010053,อื่น ๆ,0
2564-3,86010053,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010055,นักเรียนจบทั้งหมด,16
2564-3,86010055,โรงเรียนเดิม,12
2564-3,86010055,โรงเรียนอื่น สังกัด สพฐ.,4
2564-3,86010055,โรงเรียนสังกัดเอกชน,0
2564-3,86010055,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010055,กศน.,0
2564-3,86010055,อื่น ๆ,0
2564-3,86010055,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010056,นักเรียนจบทั้งหมด,23
2564-3,86010056,โรงเรียนเดิม,22
2564-3,86010056,โรงเรียนอื่น สังกัด สพฐ.,1
2564-3,86010056,โรงเรียนสังกัดเอกชน,0
2564-3,86010056,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010056,กศน.,0
2564-3,86010056,อื่น ๆ,0
2564-3,86010056,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010059,นักเรียนจบทั้งหมด,8
2564-3,86010059,โรงเรียนเดิม,0
