1086110112,บ้านปากคลอง,ปะทิว,กลาง,59.15,59.15,60.15,60.15,59.65,59.65,ดี,ดี,ดี
1086110113,วัดบางแหวน,ปะทิว,กลาง,32.66,32.66,49.27,49.27,40.97,40.97,พอใช้,พอใช้,พอใช้
1086110115,บ้านถ้ำธง,ปะทิว,เล็ก,34.11,34.11,48.77,48.77,41.44,41.44,พอใช้,พอใช้,พอใช้
1086110117,บ้านน้ำพุ,ปะทิว,เล็ก,14,14,36.5,36.5,25.25,25.25,ปรับปรุง,พอใช้,ปรับปรุง
1086110118,บ้านทรายแก้ว,ปะทิว,เล็ก,64.3,64.3,67.8,67.8,66.05,66.05,ดี,ดี,ดี
1086110119,ชุมชนมาบอำมฤต,ปะทิว,ใหญ่,54.16,54.16,61.55,61.55,57.85,57.85,ดี,ดี,ดี
1086110120,วัดดอนยาง,ปะทิว,เล็ก,53.4,53.4,62.1,62.1,57.75,57.75,ดี,ดี,ดี
1086110121,ไทยรัฐวิทยา ๗๖ (บ้านพละ),ปะทิว,กลาง,59.7,59.7,70.38,70.38,65.04,65.04,ดี,ดีมาก,ดี
1086110123,บ้านห้วยรากไม้,ปะทิว,กลาง,31.1,31.1,50.46,50.46,40.78,40.78,พอใช้,ดี,พอใช้
1086110124,บ้านไชยราช,ปะทิว,เล็ก,59.16,59.16,68.95,68.95,64.06,64.06,ดี,ดี,ดี
1086110125,บ้านทุ่งเรี้ย,ปะทิว,กลาง,45.4,45.4,50.85,50.85,48.12,48.12,ดี,ดี,ดี
1086110128,บ้านวังช้าง,ปะทิว,กลาง,72.76,72.76,72.35,72.35,72.55,72.55,ดีมาก,ดีมาก,ดีมาก
1086110129,บ้านบ่ออิฐ,ปะทิว,เล็ก,46.5,46.5,77.5,77.5,62,62,ดี,ดีมาก,ดี
1086110130,บ้านบางจาก,ปะทิว,กลาง,45.62,45.62,59,59,52.31,52.31,ดี,ดี,ดี
1086110131,บ้านชุมโค,ปะทิว,เล็ก,41.37,41.37,77.81,77.81,59.59,59.59,พอใช้,ดีมาก,ดี
1086110132,บ้านหินกบ,ปะทิว,เล็ก,38.6,38.6,59.5,59.5,49.05,49.05,พอใช้,ดี,ดี
1086110133,บ้านดอนทราย,ปะทิว,เล็ก,34.58,34.58,57.12,57.12,45.85,45.85,พอใช้,ดี,พอใช้
1086110135,อนุบาลปะทิว(บางสนพิพิธราษฏร์บำรุง),ปะทิว,กลาง,46.29,46.29,56.18,56.18,51.23,51.23,ดี,ดี,ดี
1086110136,บ้านดอนตะเคียน,ปะทิว,กลาง,34.26,34.26,46.78,46.78,40.52,40.52,พอใช้,พอใช้,พอใช้
1086110138,ชุมชนบ้านทะเลทรัพย์,ปะทิว,กลาง,45.08,45.08,48.95,48.95,47.02,47.02,ดี,พอใช้,ดี
1086110140,ไทยรัฐวิทยา๗๘(วัดสามัคคีชัย),ปะทิว,กลาง,36.43,36.43,43.82,43.82,40.13,40.13,พอใช้,พอใช้,พอใช้
1086110141,อนุบาลบ้านเนินสำลี,ปะทิว,กลาง,33.5,33.5,43.2,43.2,38.35,38.35,พอใช้,พอใช้,พอใช้
1086110143,บ้านสะพลี(บางกอกโพสต์ศึกษา),ปะทิว,กลาง,31.72,31.72,41.81,41.81,36.77,36.77,พอใช้,พอใช้,พอใช้
1086110145,บ้านคอกม้า,ปะทิว,เล็ก,27,27,36,36,31.5,31.5,พอใช้,พอใช้,พอใช้
